legacyCode,title,mainCategoryLegacyCode,subCategoryLegacyCode,unitOfMeasurement,unitPrice,quantity
,زجاج ابيض شفاف 6 مم مخرم 5 مم 47 × 27 سم,12,02,count,25,3
,زجاج ابيض شفاف 6 مم بعلامة موج 47.5 × 24.5 سم,12,02,count,25,12
,زجاج باب فرن مخطط ابيض 5 مم 77.4 × 40.1 سم,12,02,count,20,1
,زجاج ابيض شفاف 4 مم 64.6 × 31 سم,12,02,count,15,1
,زجاج دوران 2 خرم بعلامة موج 149.6 × 71.2 سم,12,02,count,15,1
,زجاج ابيض شفاف 10 مم 8 خرم 95.3 × 62.5 سم,12,02,count,40,2
,زجاج باب فرن 5 مم 54× 37 سم,12,02,count,25,1
,زجاج ابيض شفاف 6 مم 97.1 × 46 سم,12,02,count,25,2
,زجاج بومبية 7 مم 87.2 × 43.3 سم,12,02,count,25,1
,زجاج دبل جلاس شفاف مشطوف 87.7 × 61 سم,12,02,count,30,1
,زجاج ابيض شفاف 10 مم 7 خرم 59.7 × 45.7 سم,12,02,count,40,5
,زجاج ابيض شفاف 10 مم 4 خرم 67.5 × 55.5 سم,12,02,count,40,4
,زجاج ابيض شفاف 6 مم 6 خرم 60 × 48 سم,12,02,count,25,2
,زجاج ابيض شفاف 8 مم 170 × 35 سم,12,02,count,30,1
,زجاج ابيض شفاف 6 مم 66 × 50.8 سم,12,02,count,25,1
,زجاج سيكوريت ابيض 10 مم 196 × 15 سم,12,02,count,44.1,4
,زجاج سيكوريت ابيض 10 مم 91 × 71 سم,12,02,count,112.5,6
,زجاج ابواب زانوسى 67 × 45,12,02,count,61.5,8
,زجاج سيكوريت 10 مم 71 × 81 سم,12,02,count,96.3,2
,زجاج سيكوريت 8 مم 182 × 52 سم,12,02,count,30,3
,زجاج سيكوريت 6 مم 167.3 × 31 سم,12,02,count,62.88,2
,زجاج سيكوريت 10 مم 72 × 86 سم,12,02,count,168,3
